Mineral,Reference,Analysis Type,Location,Site,Section,Img. Ref. No.,Enclosing Phase,Na2O_pct,MgO_pct,Al2O3_pct,SiO2_pct,K2O_pct,CaO_pct,TiO2_pct,V2O5_pct,Cr2O3_pct,MnO_pct,FeO_pct,NiO_pct,CoO_pct,ZnO_pct,Total_pct,Sumox,Cr_apfu,Ti_apfu,V_apfu,Al_apfu,Fe2_apfu,Fe3_apfu,Mn_apfu,Mg_apfu,Co_apfu,Zn_apfu,Ni_apfu,Tot_cat,Mgno,Fe3no
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,6C,pyroxene,,10.25,15.92,0.04,,,1.56,0.298539135,40.09,0.24,29.58973764,0.105517854,0.026090411,0.1,,1.890478199,1.116212983,0.041329145,0.006946074,0.660749201,0.494518893,0.125642901,0.007158573,0.53810129,0.000736717,0.002600016,0.002989082,2.996984875,0.521102821,0.066037299
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,3D,pyroxene,,7.55,13.24,0.04,,,1.96,0.319740571,36.77,0.3,37.50964192,0.108571916,0.028226468,0.11,,1.765839487,1.096036689,0.055591494,0.00796446,0.588304293,0.619945646,0.187574951,0.009579811,0.424333743,0.00085329,0.003061887,0.003292683,2.996538947,0.406341203,0.100204794
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,5D,silicate,,3.82,4.23,,,,7.54,0.752948184,21.83,0.36,57.91938589,0.188015713,0.030189606,0.09,,1.451367651,0.791696971,0.260194075,0.022819045,0.228680001,0.989584962,0.410762297,0.013986594,0.261214791,0.00111038,0.003047984,0.006937457,2.990034557,0.208838218,0.287017697
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,3F,,,3.9,4.22,0.02,,,6.38,0.868603739,24.15,0.37,56.75939151,0.233031319,0.035743354,0.18,,1.459007857,0.871248796,0.21901131,0.026186284,0.226944717,0.941500568,0.408156842,0.014299834,0.26528874,0.001307763,0.006064046,0.008553429,2.98856233,0.219830204,0.270957444
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,3E,,,3.87,3.88,,,,7.59,0.742773209,19.72,0.37,59.96933993,0.210762115,0.033037682,0.12,,1.410926718,0.735673546,0.269426813,0.023155896,0.215770727,0.984910318,0.460513472,0.01478714,0.272218946,0.001249962,0.004180463,0.007999663,2.989886945,0.21654014,0.326152446
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,2D,,,4.98,3.68,1.32,,,7.96,1.114159814,19.56,0.39,57.61936746,0.215215956,0.034319316,0.1,,1.42421243,0.722897571,0.279925067,0.034409831,0.202739468,0.928281194,0.441409024,0.015441047,0.347029514,0.001286339,0.003451222,0.00809251,2.984962787,0.272113699,0.322892575
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,5E,,,4.51,4.91,,,,7.93,0.767362733,21.83,0.38,56.8594015,0.169882218,0.028765568,0.09,,1.490064482,0.771136677,0.266545663,0.022651943,0.2585483,0.957245215,0.389106054,0.014380217,0.300388513,0.001030527,0.002968828,0.006105573,2.99010751,0.238852144,0.274251842
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-118.9,5F,,,2.95,2.66,0.02,,,6.89,0.986124706,21.19,0.38,61.18933156,0.21092118,0.035885758,0.06,,1.383059159,0.806441533,0.249506555,0.031361794,0.150905871,1.032204095,0.477013603,0.015492794,0.21168647,0.001385074,0.002132348,0.008167009,2.986297144,0.170180943,0.332561748
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,5,olivine,,4.77,10.77,0.04,,,0.63,0.636425079,37.32,0.37,42.41958666,0.125827368,0.038296451,0.19,,1.659898247,1.183430765,0.019009145,0.016864584,0.509095776,0.721917464,0.233642005,0.012569186,0.285199496,0.001231597,0.00562626,0.004059544,2.992645821,0.283184086,0.121298837
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,4B,olivine,,4.03,8.24,,,,3.3,0.753892494,31.89,0.35,48.48951921,0.163697741,0.039517055,0.21,,1.590114776,1.055622729,0.103941496,0.020854067,0.406596836,0.841006752,0.285604398,0.012411563,0.251529203,0.001326623,0.006491401,0.005513124,2.990898193,0.230225103,0.1634057
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,4A,olivine,,3.09,3.74,0.03,,,7.55,0.864292763,26.44,0.41,55.50945954,0.205232989,0.036770696,0.15,,1.514708116,0.918787726,0.249644208,0.025098152,0.193734919,1.035755626,0.334873458,0.015263067,0.202460996,0.001295879,0.004867545,0.007256076,2.989037651,0.163510158,0.231362691
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,1,olivine,,5.11,7.79,0.17,,,5.93,0.944132403,25.54,0.36,52.18946206,0.200957302,0.042263414,0.15,,1.577331552,0.852276647,0.188293444,0.026328113,0.387507153,0.85907564,0.327701667,0.01286964,0.321521301,0.00143032,0.004674293,0.006822827,2.988501044,0.272337908,0.209062013
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,3A,olivine,,4.81,10.87,0.03,,,1.4,0.726769936,35.96,0.37,42.42959789,0.135600368,0.038296451,0.21,,1.664219236,1.137343977,0.042132865,0.019208623,0.512488664,0.744163599,0.225106742,0.012536552,0.286844403,0.001228399,0.006202352,0.004363489,2.991619664,0.278217436,0.120060811
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,6C,olivine,,3.15,4.42,0.05,,,6.19,0.727001997,22.55,0.34,57.76937857,0.149680868,0.024635857,0.14,,1.413937404,0.839458149,0.219262298,0.022615971,0.245277292,0.988683669,0.428699943,0.013559249,0.221101766,0.000930099,0.004866822,0.005669173,2.99012443,0.182761141,0.283262799
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,2B,olivine,,2.96,3.56,,,,6,1.04785289,19.16,0.41,61.67930216,0.243211527,0.036312969,0.18,,1.343270444,0.750783522,0.223713033,0.034312051,0.207946586,0.993670028,0.520949213,0.017211047,0.218695624,0.001443078,0.00658653,0.00969626,2.985006974,0.180387512,0.352068996
spinel,"Barnes and Kunilov, 2000",WDS,Norilsk,Chibacheka River Intrusion,UK35-151.7,1C,olivine,,3.72,4.32,0.02,,,6.98,0.94983396,22.71,0.38,57.04939946,0.224123637,0.03446172,0.11,,1.453520546,0.822391562,0.24051255,0.028743281,0.233199615,0.978288904,0.402322476,0.01474176,0.253999935,0.001265632,0.003719796,0.008257528,2.987443038,0.206120454,0.275957685
